Data from https://doi.org/10.1002/adma.202008076
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)
303.9	1118.68
304	1118.96
304.1	1119.25
304.2	1119.54
304.3	1119.83
304.4	1120.12
304.5	1120.4
304.6	1120.69
304.7	1120.98
304.8	1121.27
304.9	1121.56
305	1122.46
305.1	1122.75
305.2	1123.04
305.3	1123.33
305.4	1123.62
305.5	1123.91
305.6	1124.2
305.7	1124.48
305.8	1124.77
305.9	1125.06
306	1125.35
306.1	1125.64
306.2	1125.93
306.3	1126.21
306.4	1126.5
306.5	1126.79
306.6	1127.08
306.7	1127.37
306.8	1127.66
306.9	1127.95
307	1128.23
307.1	1128.52
307.2	1128.81
307.3	1129.1
307.4	1129.39
307.5	1129.68
307.6	1129.96
307.7	1130.25
307.8	1130.54
307.9	1130.83
308	1131.12
308.1	1131.41
308.2	1131.69
308.3	1131.98
308.4	1132.27
308.5	1132.56
308.6	1132.85
308.7	1133.14
308.8	1133.43
308.9	1133.71
309	1134
309.1	1134.29
309.2	1134.58
309.3	1134.87
309.4	1135.16
309.5	1135.44
309.6	1135.73
309.7	1136.02
309.8	1136.31
309.9	1136.6
310	1136.89
310.1	1137.18
310.2	1137.46
310.3	1137.75
310.4	1138.04
310.5	1138.33
310.6	1138.62
310.7	1138.91
310.8	1139.19
310.9	1139.48
311	1139.77
311.1	1140.06
311.2	1140.35
311.3	1140.64
311.4	1140.92
311.5	1141.21
311.6	1141.5
311.7	1141.79
311.8	1142.08
311.9	1142.37
312	1142.66
312.1	1142.94
312.2	1143.23
312.3	1143.52
312.4	1143.81
312.5	1144.1
312.6	1144.39
312.7	1144.67
312.8	1144.96
312.9	1145.25
313	1145.54
313.1	1145.83
313.2	1146.12
313.3	1146.4
313.4	1146.69
313.5	1146.98
313.6	1147.27
313.7	1147.56
313.8	1147.85
313.9	1148.13
314	1148.42
314.1	1148.71
314.2	1149
314.3	1149.29
314.4	1149.58
314.5	1149.87
314.6	1150.15
314.7	1150.44
314.8	1150.73
314.9	1151.02
315	1151.31
315.1	1151.6
315.2	1151.88
315.3	1566.91
315.4	2533.47
315.5	2944.1
315.6	3420.85
315.7	3789.89
315.8	4342.16
315.9	4845.34
316	5285.54
316.1	6174.38
316.2	6838.69
316.3	7040.45
316.4	7152.2
316.5	8223.22
316.6	8818.65
316.7	9160.08
316.8	9925.01
316.9	10266.63
317	10707.06
317.1	11294.49
317.2	10739.33
317.3	10949.34
317.4	11265.16
317.5	10433.95
317.6	10274.49
317.7	10242.37
317.8	9162.53
317.9	9734.54
318	8354.18
318.1	7601.84
318.2	7506.44
318.3	6978.53
318.4	6527.51
318.5	6092.33
318.6	5811.52
318.7	5116.21
318.8	5481.44
318.9	4917.19
319	4193.23
319.1	4362.75
319.2	4023.07
319.3	3739.37
319.4	3760.1
319.5	3512.98
319.6	3121.41
319.7	3176.37
319.8	2889.08
319.9	2758.46
320	2496.17
320.1	2342.87
320.2	2364.17
320.3	1458.78
320.4	1249.14
320.5	1249.36
320.6	1249.57
320.7	1249.78
320.8	1249.99
320.9	1250.2
321	1250.42
321.1	1250.63
321.2	1250.84
321.3	1251.05
321.4	1251.26
321.5	1251.48
321.6	1251.69
321.7	1251.9
321.8	1252.11
321.9	1252.32
322	1252.54
322.1	1252.75
322.2	1252.96
322.3	1253.17
322.4	1253.38
322.5	1253.6
322.6	1253.81
322.7	1254.02
322.8	1254.23
322.9	1254.44
323	1254.66
323.1	1254.87
323.2	1255.08
323.3	1255.29
323.4	1255.5
323.5	1255.72
323.6	1255.93
323.7	1256.14
323.8	1256.35
323.9	1256.56
324	1256.78
324.1	1256.99
324.2	1257.2
324.3	1257.41
324.4	1257.62
324.5	1257.84
324.6	1258.05
324.7	1258.26
324.8	1258.47
324.9	1258.68
325	1258.9
325.1	1259.11
325.2	1259.32
325.3	1259.53
325.4	1259.74
325.5	1259.96
325.6	1260.17
325.7	1260.38
325.8	1260.59
325.9	1260.8
326	1261.02
326.1	1261.23
326.2	1261.44
326.3	1261.65
326.4	1261.86
326.5	1262.08
326.6	1262.29
326.7	1262.5
326.8	1262.71
326.9	1262.92
327	1263.14
327.1	1263.35
327.2	1263.56
327.3	1263.77
327.4	1263.98
327.5	1264.2
327.6	1264.41
327.7	1264.62
327.8	1264.83
327.9	1265.04
328	1265.26
328.1	1265.47
328.2	1265.68
328.3	1265.89
328.4	1266.1
328.5	1266.32
328.6	1266.53
328.7	1266.74
328.8	1266.95
328.9	1267.16
329	1267.38
329.1	1267.59
329.2	1267.8
329.3	1268.01
329.4	1268.22
329.5	1268.44
329.6	1268.65
329.7	1268.86
329.8	1269.07
329.9	1269.28
330	1269.5
330.1	1269.71
330.2	1269.92
330.3	1270.13
330.4	1270.34
330.5	1270.56
330.6	1270.77
330.7	1270.98
330.8	1271.19
330.9	1271.4
331	1271.62
331.1	1271.83
331.2	1272.04
331.3	1272.25
331.4	1272.46
331.5	1272.68
331.6	1272.89
331.7	1273.1
331.8	1273.31
331.9	1273.52
332	1273.74
332.1	1273.95
332.2	1274.16
332.3	1274.37
332.4	1274.58
332.5	1274.8
332.6	1275.01
332.7	1275.22
332.8	1275.43
332.9	1275.64
333	1275.86
333.1	1276.07
333.2	1276.28
333.3	1276.49
333.4	1276.7
333.5	1276.92
333.6	1277.13
333.7	1277.34
333.8	1277.55
333.9	1277.76
334	1277.98
334.1	1278.19
334.2	1278.4
334.3	1278.61
334.4	1278.82
334.5	1279.04
334.6	1279.25
334.7	1279.46
334.8	1279.67
334.9	1279.88
335	1280.1
335.1	1280.31
335.2	1280.52
335.3	1280.73
335.4	1280.94
335.5	1281.16
335.6	1281.37
335.7	1281.58
335.8	1281.79
335.9	1282
336	1282.22
336.1	1282.43
336.2	1282.64
336.3	1282.85
336.4	1283.06
336.5	1283.28
336.6	1283.49
336.7	1283.7
336.8	1283.91
336.9	1284.12
337	1284.34
337.1	1284.55
337.2	1284.76
337.3	1284.97
337.4	1285.18
337.5	1285.4
337.6	1285.61
337.7	1285.82
337.8	1286.03
337.9	1286.24
338	1286.46
338.1	1286.67
338.2	1286.88
338.3	1287.09
338.4	1287.3
338.5	1287.52
338.6	1287.73
338.7	1287.94
338.8	1288.15
338.9	1288.36
339	1288.58
339.1	1288.79
339.2	1289
339.3	1289.21
339.4	1289.42
339.5	1289.64
339.6	1289.85
339.7	1290.06
339.8	1290.27
339.9	1290.48
340	1290.7
340.1	1290.91
340.2	1291.12
340.3	1291.33
340.4	1291.54
340.5	1291.76
340.6	1291.97
340.7	1292.18
340.8	1292.39
340.9	1292.6
341	1292.82
341.1	1293.03
341.2	1293.24
341.3	1293.45
341.4	1293.66
341.5	1293.88
341.6	1294.09
341.7	1294.3
341.8	1294.51
341.9	1294.72
342	1294.94
342.1	1295.15
342.2	1295.36
342.3	1295.57
342.4	1295.78
342.5	1296
342.6	1296.21
342.7	1296.42
342.8	1296.63
342.9	1296.84
343	1297.06
343.1	1297.27
343.2	1297.48
343.3	1297.69
343.4	1297.9
343.5	1298.12
343.6	1298.33
343.7	1298.54
343.8	1298.75
343.9	1298.96
344	1299.18
344.1	1299.39
344.2	1299.6
344.3	1299.81
344.4	1300.02
344.5	1300.24
344.6	1300.45
344.7	1300.66
344.8	1300.87
344.9	1301.08
345	1301.3
345.1	1301.51
345.2	1301.72
345.3	1301.93
345.4	1302.14
345.5	1302.36
345.6	1302.57
345.7	1302.78
345.8	1302.99
345.9	1303.2
346	1303.42
346.1	1303.63
346.2	1303.84
346.3	1304.05
346.4	1304.26
346.5	1304.48
346.6	1304.69
346.7	1304.9
346.8	1305.11
346.9	1305.32
347	1305.54
347.1	1305.75
347.2	1305.96
347.3	1306.17
347.4	1306.38
347.5	1306.6
347.6	1306.81
347.7	1307.02
347.8	1307.23
347.9	1307.44
348	1307.66
348.1	1307.87
348.2	1308.08
348.3	1308.29
348.4	1308.5
348.5	1308.72
348.6	1308.93
348.7	1309.14
348.8	1309.35
348.9	1309.56
349	1309.78
349.1	1309.99
349.2	1310.2
349.3	1310.41
349.4	1310.62
349.5	1310.84
349.6	1311.05
349.7	1311.26
349.8	1311.47
349.9	1311.68
350	1311.9
350.1	1312.11
350.2	1312.32
350.3	1312.53
350.4	1312.74
350.5	1312.96
350.6	1313.17
350.7	1313.38
350.8	1313.59
350.9	1313.8
351	1314.02
351.1	1314.23
351.2	1314.44
351.3	1314.65
351.4	1314.86
351.5	1315.08
351.6	1315.29
351.7	1315.5
351.8	1315.71
351.9	1315.92
352	1316.14
352.1	1316.35
