%H field first colomn	Temp row	Ds array	Corrected for demagnetization using the Anaroni demagnetization factor	 NaN means no data
0.0000		127.28			177.41			207.57			217.43			227.33			237.14			244.46			249.40			252.86			254.84			256.82			258.80			260.78			262.28			263.30			264.32			265.34			266.34			267.36			268.39			269.37			270.35			271.32			272.33			273.33			274.33			275.36			276.35			277.35			278.34			279.32			280.30			281.28			282.76			284.72			286.68			288.66			290.65			292.61			294.56			296.49			298.39			300.31			303.72			308.59			
 0.210		 -0.0244		 -0.0367		 -0.0447		 -0.0588		 -0.0762		 -0.0955		 -0.1182		 -0.1478		 -0.1783		 -0.2071		 -0.2370		 -0.2693		 -0.3027		 -0.3399		 -0.3838		 -0.4307		 -0.4784		 -0.5464		 -0.6262		 -0.8353		 -0.8837		 -0.9290		 -1.0540		 -1.3253		 -1.4572		 -1.5615		 -1.5735		 -1.4838		 -1.3153		 -1.0965		 -0.8604		 -0.6544		 -0.4675		 -0.3271		 -0.2124		 -0.1416		 -0.0909		 -0.0583		 -0.0471		 -0.0339		 -0.0263		 -0.0188		 -0.0153		 -0.0118		     NaN		
 0.220		 -0.0256		 -0.0385		 -0.0471		 -0.0618		 -0.0800		 -0.1003		 -0.1241		 -0.1550		 -0.1869		 -0.2172		 -0.2486		 -0.2825		 -0.3175		 -0.3564		 -0.4022		 -0.4515		 -0.5015		 -0.5726		 -0.6560		 -0.8698		 -0.9227		 -0.9735		 -1.1064		 -1.3839		 -1.5218		 -1.6305		 -1.6444		 -1.5522		 -1.3787		 -1.1532		 -0.9092		 -0.6946		 -0.4987		 -0.3514		 -0.2295		 -0.1535		 -0.0990		 -0.0638		 -0.0512		 -0.0370		 -0.0288		 -0.0207		 -0.0168		 -0.0129		     NaN		
 0.230		 -0.0268		 -0.0403		 -0.0494		 -0.0648		 -0.0838		 -0.1050		 -0.1301		 -0.1623		 -0.1955		 -0.2273		 -0.2601		 -0.2956		 -0.3322		 -0.3729		 -0.4206		 -0.4721		 -0.5246		 -0.5987		 -0.6857		 -0.9042		 -0.9615		 -1.0177		 -1.1581		 -1.4419		 -1.5858		 -1.6992		 -1.7149		 -1.6204		 -1.4419		 -1.2101		 -0.9579		 -0.7350		 -0.5303		 -0.3761		 -0.2470		 -0.1657		 -0.1073		 -0.0696		 -0.0555		 -0.0403		 -0.0313		 -0.0227		 -0.0183		 -0.0140		     NaN		
 0.240		 -0.0280		 -0.0421		 -0.0517		 -0.0678		 -0.0875		 -0.1097		 -0.1360		 -0.1695		 -0.2041		 -0.2373		 -0.2717		 -0.3087		 -0.3470		 -0.3894		 -0.4388		 -0.4928		 -0.5475		 -0.6247		 -0.7153		 -0.9384		 -1.0002		 -1.0616		 -1.2093		 -1.4994		 -1.6491		 -1.7675		 -1.7851		 -1.6885		 -1.5052		 -1.2670		 -1.0064		 -0.7756		 -0.5624		 -0.4012		 -0.2650		 -0.1782		 -0.1160		 -0.0757		 -0.0599		 -0.0437		 -0.0340		 -0.0248		 -0.0200		 -0.0152		     NaN		
 0.250		 -0.0292		 -0.0440		 -0.0540		 -0.0708		 -0.0913		 -0.1145		 -0.1419		 -0.1767		 -0.2127		 -0.2473		 -0.2831		 -0.3219		 -0.3618		 -0.4059		 -0.4571		 -0.5133		 -0.5703		 -0.6505		 -0.7446		 -0.9724		 -1.0388		 -1.1051		 -1.2598		 -1.5563		 -1.7119		 -1.8355		 -1.8549		 -1.7563		 -1.5685		 -1.3240		 -1.0549		 -0.8165		 -0.5948		 -0.4266		 -0.2833		 -0.1911		 -0.1249		 -0.0819		 -0.0645		 -0.0472		 -0.0368		 -0.0269		 -0.0217		 -0.0165		     NaN		
 0.260		 -0.0304		 -0.0458		 -0.0564		 -0.0738		 -0.0950		 -0.1192		 -0.1478		 -0.1839		 -0.2213		 -0.2573		 -0.2946		 -0.3351		 -0.3765		 -0.4222		 -0.4752		 -0.5338		 -0.5930		 -0.6761		 -0.7739		 -1.0063		 -1.0771		 -1.1484		 -1.3099		 -1.6126		 -1.7741		 -1.9031		 -1.9242		 -1.8240		 -1.6317		 -1.3811		 -1.1035		 -0.8577		 -0.6277		 -0.4524		 -0.3019		 -0.2043		 -0.1340		 -0.0883		 -0.0693		 -0.0508		 -0.0397		 -0.0292		 -0.0234		 -0.0178		     NaN		
 0.270		 -0.0316		 -0.0476		 -0.0587		 -0.0768		 -0.0988		 -0.1239		 -0.1537		 -0.1911		 -0.2299		 -0.2672		 -0.3061		 -0.3482		 -0.3913		 -0.4386		 -0.4933		 -0.5542		 -0.6156		 -0.7017		 -0.8029		 -1.0399		 -1.1153		 -1.1914		 -1.3596		 -1.6684		 -1.8359		 -1.9701		 -1.9931		 -1.8913		 -1.6950		 -1.4383		 -1.1523		 -0.8992		 -0.6610		 -0.4784		 -0.3209		 -0.2178		 -0.1434		 -0.0949		 -0.0742		 -0.0546		 -0.0427		 -0.0315		 -0.0252		 -0.0191		     NaN		
 0.280		 -0.0328		 -0.0494		 -0.0610		 -0.0798		 -0.1026		 -0.1287		 -0.1596		 -0.1984		 -0.2385		 -0.2772		 -0.3175		 -0.3614		 -0.4061		 -0.4549		 -0.5114		 -0.5744		 -0.6381		 -0.7270		 -0.8318		 -1.0732		 -1.1533		 -1.2342		 -1.4090		 -1.7238		 -1.8972		 -2.0367		 -2.0615		 -1.9583		 -1.7583		 -1.4955		 -1.2012		 -0.9409		 -0.6946		 -0.5048		 -0.3402		 -0.2315		 -0.1530		 -0.1018		 -0.0793		 -0.0585		 -0.0458		 -0.0339		 -0.0271		 -0.0205		     NaN		
 0.290		 -0.0340		 -0.0512		 -0.0634		 -0.0828		 -0.1063		 -0.1334		 -0.1655		 -0.2056		 -0.2470		 -0.2871		 -0.3290		 -0.3745		 -0.4208		 -0.4712		 -0.5295		 -0.5946		 -0.6604		 -0.7522		 -0.8604		 -1.1063		 -1.1910		 -1.2767		 -1.4581		 -1.7788		 -1.9581		 -2.1028		 -2.1295		 -2.0250		 -1.8215		 -1.5528		 -1.2504		 -0.9830		 -0.7286		 -0.5314		 -0.3599		 -0.2455		 -0.1629		 -0.1088		 -0.0845		 -0.0625		 -0.0490		 -0.0364		 -0.0291		 -0.0220		     NaN		
 0.300		 -0.0352		 -0.0530		 -0.0657		 -0.0858		 -0.1101		 -0.1381		 -0.1714		 -0.2128		 -0.2556		 -0.2971		 -0.3404		 -0.3876		 -0.4355		 -0.4875		 -0.5475		 -0.6146		 -0.6827		 -0.7772		 -0.8889		 -1.1391		 -1.2285		 -1.3190		 -1.5070		 -1.8334		 -2.0185		 -2.1684		 -2.1971		 -2.0912		 -1.8846		 -1.6100		 -1.2998		 -1.0253		 -0.7629		 -0.5583		 -0.3799		 -0.2599		 -0.1730		 -0.1160		 -0.0900		 -0.0667		 -0.0523		 -0.0389		 -0.0311		 -0.0235		     NaN		
