%H field first colomn	Temp row	Ds array	Corrected for demagnetization using the Anaroni demagnetization factor	 NaN means no data
0.0000		127.53			177.33			212.09			226.94			236.73			246.55			256.55			262.58			264.61			266.59			268.53			270.50			272.51			274.52			276.01			277.01			278.03			279.02			280.02			281.05			282.04			283.07			284.00			284.88			285.87			286.89			287.89			288.89			289.90			290.93			291.90			292.85			293.82			294.81			295.78			296.78			297.77			298.75			299.74			300.71			301.70			303.20			305.14			308.47			313.25			318.12			
 0.210		 -0.0197		 -0.0303		 -0.0410		 -0.0519		 -0.0713		 -0.0917		 -0.1149		 -0.1420		 -0.1739		 -0.1963		 -0.2217		 -0.2607		 -0.2961		 -0.3444		 -0.3910		 -0.4251		 -0.4690		 -0.5225		 -0.5898		 -0.6621		 -0.7469		 -0.8092		 -0.9678		 -1.0512		 -1.1589		 -1.2235		 -1.3500		 -1.2782		 -1.2636		 -1.1335		 -1.0209		 -0.7938		 -0.6650		 -0.4850		 -0.3819		 -0.2841		 -0.2402		 -0.1752		 -0.1425		 -0.1157		 -0.0983		 -0.0693		 -0.0538		 -0.0371		 -0.0213		 -0.0080		
 0.220		 -0.0208		 -0.0319		 -0.0431		 -0.0547		 -0.0750		 -0.0963		 -0.1208		 -0.1493		 -0.1825		 -0.2061		 -0.2329		 -0.2739		 -0.3107		 -0.3608		 -0.4107		 -0.4457		 -0.4926		 -0.5485		 -0.6185		 -0.6931		 -0.7833		 -0.8475		 -1.0128		 -1.0989		 -1.2128		 -1.2797		 -1.4095		 -1.3361		 -1.3228		 -1.1873		 -1.0718		 -0.8381		 -0.7039		 -0.5171		 -0.4086		 -0.3055		 -0.2584		 -0.1898		 -0.1546		 -0.1258		 -0.1064		 -0.0758		 -0.0586		 -0.0405		 -0.0233		 -0.0091		
 0.230		 -0.0218		 -0.0334		 -0.0452		 -0.0575		 -0.0786		 -0.1008		 -0.1267		 -0.1566		 -0.1911		 -0.2159		 -0.2442		 -0.2870		 -0.3252		 -0.3772		 -0.4305		 -0.4661		 -0.5162		 -0.5744		 -0.6473		 -0.7241		 -0.8195		 -0.8857		 -1.0576		 -1.1462		 -1.2661		 -1.3357		 -1.4683		 -1.3935		 -1.3817		 -1.2411		 -1.1224		 -0.8826		 -0.7429		 -0.5496		 -0.4357		 -0.3272		 -0.2769		 -0.2049		 -0.1671		 -0.1362		 -0.1147		 -0.0824		 -0.0636		 -0.0441		 -0.0254		 -0.0103		
 0.240		 -0.0228		 -0.0350		 -0.0474		 -0.0602		 -0.0823		 -0.1054		 -0.1326		 -0.1638		 -0.1996		 -0.2256		 -0.2555		 -0.3002		 -0.3396		 -0.3936		 -0.4501		 -0.4866		 -0.5399		 -0.6001		 -0.6760		 -0.7550		 -0.8554		 -0.9238		 -1.1022		 -1.1932		 -1.3188		 -1.3914		 -1.5264		 -1.4508		 -1.4401		 -1.2948		 -1.1727		 -0.9273		 -0.7820		 -0.5825		 -0.4633		 -0.3496		 -0.2957		 -0.2204		 -0.1798		 -0.1469		 -0.1233		 -0.0893		 -0.0688		 -0.0479		 -0.0276		 -0.0116		
 0.250		 -0.0238		 -0.0366		 -0.0495		 -0.0630		 -0.0860		 -0.1100		 -0.1385		 -0.1711		 -0.2081		 -0.2352		 -0.2668		 -0.3133		 -0.3540		 -0.4101		 -0.4696		 -0.5070		 -0.5636		 -0.6258		 -0.7046		 -0.7860		 -0.8911		 -0.9618		 -1.1466		 -1.2399		 -1.3710		 -1.4470		 -1.5838		 -1.5079		 -1.4981		 -1.3486		 -1.2227		 -0.9722		 -0.8212		 -0.6157		 -0.4911		 -0.3725		 -0.3149		 -0.2363		 -0.1930		 -0.1579		 -0.1322		 -0.0964		 -0.0741		 -0.0518		 -0.0299		 -0.0129		
 0.260		 -0.0248		 -0.0381		 -0.0516		 -0.0658		 -0.0896		 -0.1145		 -0.1444		 -0.1783		 -0.2166		 -0.2448		 -0.2780		 -0.3265		 -0.3683		 -0.4265		 -0.4890		 -0.5274		 -0.5872		 -0.6512		 -0.7331		 -0.8171		 -0.9267		 -0.9995		 -1.1909		 -1.2864		 -1.4225		 -1.5023		 -1.6409		 -1.5647		 -1.5557		 -1.4026		 -1.2724		 -1.0173		 -0.8606		 -0.6492		 -0.5192		 -0.3958		 -0.3344		 -0.2525		 -0.2065		 -0.1691		 -0.1412		 -0.1037		 -0.0796		 -0.0558		 -0.0323		 -0.0142		
 0.270		 -0.0259		 -0.0397		 -0.0537		 -0.0685		 -0.0933		 -0.1191		 -0.1503		 -0.1855		 -0.2252		 -0.2544		 -0.2893		 -0.3396		 -0.3827		 -0.4428		 -0.5082		 -0.5479		 -0.6108		 -0.6765		 -0.7615		 -0.8480		 -0.9621		 -1.0369		 -1.2349		 -1.3327		 -1.4736		 -1.5572		 -1.6979		 -1.6212		 -1.6129		 -1.4568		 -1.3221		 -1.0623		 -0.9003		 -0.6831		 -0.5475		 -0.4195		 -0.3542		 -0.2690		 -0.2203		 -0.1807		 -0.1505		 -0.1113		 -0.0853		 -0.0600		 -0.0347		 -0.0156		
 0.280		 -0.0269		 -0.0413		 -0.0559		 -0.0713		 -0.0969		 -0.1236		 -0.1562		 -0.1927		 -0.2337		 -0.2639		 -0.3005		 -0.3527		 -0.3972		 -0.4591		 -0.5272		 -0.5684		 -0.6344		 -0.7015		 -0.7899		 -0.8787		 -0.9974		 -1.0739		 -1.2785		 -1.3790		 -1.5249		 -1.6115		 -1.7549		 -1.6775		 -1.6695		 -1.5109		 -1.3720		 -1.1074		 -0.9400		 -0.7173		 -0.5759		 -0.4435		 -0.3744		 -0.2859		 -0.2344		 -0.1924		 -0.1599		 -0.1190		 -0.0912		 -0.0643		 -0.0373		 -0.0170		
 0.290		 -0.0279		 -0.0429		 -0.0580		 -0.0741		 -0.1006		 -0.1281		 -0.1621		 -0.1998		 -0.2422		 -0.2735		 -0.3118		 -0.3658		 -0.4119		 -0.4754		 -0.5459		 -0.5890		 -0.6578		 -0.7266		 -0.8181		 -0.9093		 -1.0324		 -1.1106		 -1.3217		 -1.4251		 -1.5761		 -1.6651		 -1.8116		 -1.7336		 -1.7257		 -1.5649		 -1.4221		 -1.1524		 -0.9799		 -0.7517		 -0.6045		 -0.4677		 -0.3949		 -0.3032		 -0.2490		 -0.2044		 -0.1696		 -0.1270		 -0.0971		 -0.0688		 -0.0399		 -0.0185		
 0.300		 -0.0290		 -0.0445		 -0.0601		 -0.0769		 -0.1043		 -0.1327		 -0.1680		 -0.2070		 -0.2507		 -0.2831		 -0.3230		 -0.3788		 -0.4265		 -0.4918		 -0.5645		 -0.6096		 -0.6811		 -0.7515		 -0.8461		 -0.9397		 -1.0672		 -1.1473		 -1.3647		 -1.4710		 -1.6273		 -1.7185		 -1.8681		 -1.7893		 -1.7814		 -1.6188		 -1.4722		 -1.1974		 -1.0200		 -0.7860		 -0.6332		 -0.4922		 -0.4159		 -0.3209		 -0.2642		 -0.2166		 -0.1795		 -0.1351		 -0.1033		 -0.0734		 -0.0426		 -0.0200		
 0.310		 -0.0300		 -0.0461		 -0.0623		 -0.0797		 -0.1079		 -0.1373		 -0.1739		 -0.2141		 -0.2592		 -0.2928		 -0.3343		 -0.3919		 -0.4412		 -0.5083		 -0.5829		 -0.6302		 -0.7042		 -0.7762		 -0.8741		 -0.9699		 -1.1016		 -1.1838		 -1.4078		 -1.5166		 -1.6786		 -1.7718		 -1.9242		 -1.8445		 -1.8366		 -1.6726		 -1.5222		 -1.2427		 -1.0603		 -0.8206		 -0.6621		 -0.5171		 -0.4369		 -0.3390		 -0.2798		 -0.2292		 -0.1897		 -0.1435		 -0.1095		 -0.0781		 -0.0454		 -0.0215		
