Data from https://doi.org/10.1016/j.apmt.2021.101023
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)
226.53	876.22
226.54	876.27
226.55	876.31
226.56	876.36
226.57	876.41
226.58	876.46
226.59	876.51
226.6	876.56
226.61	876.6
226.62	876.65
226.63	876.7
226.64	876.75
226.65	876.8
226.66	876.84
226.67	876.89
226.68	876.94
226.69	876.99
226.7	877.04
226.71	877.09
226.72	877.13
226.73	877.18
226.74	877.23
226.75	877.28
226.76	877.33
226.77	877.37
226.78	877.42
226.79	877.47
226.8	877.52
226.81	877.57
226.82	877.62
226.83	877.66
226.84	877.71
226.85	877.76
226.86	877.81
226.87	877.86
226.88	877.91
226.89	877.95
226.9	878
226.91	878.05
226.92	878.1
226.93	878.15
226.94	878.19
226.95	878.24
226.96	878.29
226.97	878.34
226.98	878.39
226.99	878.44
227	878.48
227.01	878.53
227.02	878.58
227.03	878.63
227.04	878.68
227.05	878.73
227.06	878.77
227.07	878.82
227.08	878.87
227.09	878.92
227.1	878.97
227.11	879.01
227.12	879.06
227.13	879.11
227.14	879.16
227.15	879.21
227.16	879.26
227.17	879.3
227.18	879.35
227.19	879.4
227.2	879.45
227.21	879.5
227.22	879.55
227.23	879.59
227.24	879.64
227.25	879.69
227.26	879.74
227.27	879.79
227.28	879.83
227.29	879.88
227.3	879.93
227.31	879.98
227.32	880.03
227.33	880.08
227.34	880.12
227.35	880.17
227.36	880.22
227.37	880.27
227.38	880.32
227.39	880.36
227.4	880.41
227.41	880.46
227.42	880.51
227.43	880.56
227.44	880.61
227.45	880.65
227.46	880.7
227.47	880.75
227.48	880.8
227.49	880.85
227.5	880.9
227.51	880.94
227.52	880.99
227.53	881.04
227.54	881.09
227.55	881.14
227.56	881.18
227.57	881.23
227.58	881.28
227.59	881.33
227.6	881.38
227.61	881.43
227.62	881.47
227.63	881.52
227.64	881.57
227.65	881.62
227.66	881.67
227.67	881.72
227.68	881.76
227.69	881.81
227.7	881.86
227.71	881.91
227.72	881.96
227.73	882
227.74	882.05
227.75	882.1
227.76	882.15
227.77	882.2
227.78	882.25
227.79	882.29
227.8	882.34
227.81	882.39
227.82	882.44
227.83	882.49
227.84	882.54
227.85	882.58
227.86	882.63
227.87	882.68
227.88	882.73
227.89	882.78
227.9	882.82
227.91	882.87
227.92	882.92
227.93	882.97
227.94	883.02
227.95	883.07
227.96	883.11
227.97	883.16
227.98	883.21
227.99	883.26
228	883.31
228.01	883.36
228.02	883.4
228.03	883.45
228.04	883.5
228.05	883.55
228.06	883.6
228.07	883.64
228.08	883.69
228.09	883.74
228.1	883.79
228.11	883.84
228.12	883.89
228.13	883.93
228.14	883.98
228.15	884.03
228.16	884.08
228.17	884.13
228.18	884.17
228.19	884.22
228.2	884.27
228.21	884.32
228.22	884.37
228.23	884.42
228.24	884.46
228.25	884.51
228.26	884.56
228.27	884.61
228.28	884.66
228.29	884.71
228.3	884.75
228.31	884.8
228.32	884.85
228.33	884.9
228.34	884.95
228.35	884.99
228.36	885.04
228.37	885.09
228.38	885.14
228.39	885.19
228.4	885.24
228.41	885.28
228.42	885.33
228.43	885.38
228.44	885.43
228.45	885.48
228.46	885.53
228.47	885.57
228.48	885.62
228.49	885.67
228.5	885.72
228.51	885.77
228.52	885.81
228.53	885.86
228.54	885.91
228.55	885.96
228.56	886.01
228.57	886.06
228.58	886.1
228.59	886.15
228.6	886.2
228.61	886.25
228.62	886.3
228.63	886.35
228.64	886.39
228.65	886.44
228.66	886.49
228.67	886.54
228.68	886.59
228.69	886.63
228.7	886.68
228.71	886.73
228.72	886.78
228.73	886.83
228.74	886.88
228.75	886.92
228.76	886.97
228.77	887.02
228.78	887.07
228.79	887.12
228.8	887.16
228.81	887.21
228.82	887.26
228.83	887.31
228.84	887.36
228.85	887.41
228.86	887.45
228.87	887.5
228.88	887.55
228.89	887.6
228.9	887.65
228.91	887.7
228.92	887.74
228.93	887.79
228.94	887.84
228.95	887.89
228.96	887.94
228.97	887.98
228.98	888.03
228.99	888.08
229	888.13
229.01	888.18
229.02	888.23
229.03	888.27
229.04	888.32
229.05	888.37
229.06	888.42
229.07	888.47
229.08	888.52
229.09	888.56
229.1	888.61
229.11	888.66
229.12	888.71
229.13	888.76
229.14	888.8
229.15	888.85
229.16	888.9
229.17	888.95
229.18	889
229.19	889.05
229.2	889.09
229.21	889.14
229.22	889.19
229.23	889.24
229.24	889.29
229.25	889.34
229.26	889.38
229.27	889.43
229.28	889.48
229.29	889.53
229.3	889.58
229.31	889.62
229.32	889.67
229.33	889.72
229.34	889.77
229.35	889.82
229.36	889.87
229.37	889.91
229.38	889.96
229.39	890.01
229.4	890.06
229.41	890.11
229.42	890.16
229.43	890.2
229.44	890.25
229.45	890.3
229.46	890.35
229.47	890.4
229.48	890.44
229.49	890.49
229.5	890.54
229.51	890.59
229.52	890.64
229.53	890.69
229.54	890.73
229.55	890.78
229.56	890.83
229.57	890.88
229.58	890.93
229.59	890.97
229.6	891.02
229.61	891.07
229.62	891.12
229.63	891.17
229.64	891.22
229.65	891.26
229.66	891.31
229.67	891.36
229.68	891.41
229.69	891.46
229.7	891.51
229.71	891.55
229.72	891.6
229.73	891.65
229.74	891.7
229.75	891.75
229.76	891.79
229.77	891.84
229.78	891.89
229.79	891.94
229.8	891.99
229.81	892.04
229.82	892.08
229.83	892.13
229.84	892.18
229.85	892.23
229.86	892.28
229.87	892.33
229.88	892.37
229.89	892.42
229.9	892.47
229.91	892.52
229.92	892.57
229.93	892.61
229.94	892.66
229.95	892.71
229.96	892.76
229.97	892.81
229.98	892.86
229.99	892.9
230	892.95
230.01	893
230.02	893.05
230.03	893.1
230.04	893.15
230.05	893.19
230.06	893.24
230.07	893.29
230.08	893.34
230.09	893.39
230.1	893.43
230.11	893.48
230.12	893.53
230.13	893.58
230.14	893.63
230.15	893.68
230.16	893.72
230.17	893.77
230.18	893.82
230.19	893.87
230.2	893.92
230.21	893.96
