Data from https://doi.org/10.1038/s41467-019-09730-9
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)
356.09	2576.59
356.07	2576.65
356.05	2576.65
356.04	2576.65
356.02	2576.76
356	2576.93
355.99	2577.11
355.97	2577.3
355.96	2577.61
355.94	2577.84
355.92	2578.43
355.91	2578.95
355.89	2579.24
355.87	2579.39
355.86	2579.53
355.84	2579.91
355.82	2580.41
355.81	2580.94
355.79	2581.46
355.77	2581.92
355.76	2582.04
355.74	2582.08
355.72	2582.16
355.71	2582.24
355.69	2582.12
355.68	2582.03
355.66	2582.01
355.64	2582.19
355.63	2582.68
355.61	2583.48
355.59	2584.28
355.58	2584.92
355.56	2585.31
355.54	2585.87
355.53	2586.21
355.51	2586.28
355.49	2586.19
355.48	2586.17
355.46	2586.07
355.44	2586.11
355.43	2586.24
355.41	2586.31
355.4	2586.41
355.38	2586.55
355.36	2586.81
355.35	2587.27
355.33	2587.72
355.31	2587.93
355.3	2588.17
355.28	2588.42
355.26	2588.54
355.25	2588.61
355.23	2588.7
355.21	2588.65
355.2	2588.57
355.18	2588.45
355.17	2588.35
355.15	2588.33
355.13	2588.53
355.12	2588.88
355.1	2589.32
355.08	2589.6
355.07	2589.98
355.05	2590.45
355.03	2590.71
355.02	2590.88
355	2591.04
354.98	2591.17
354.97	2591.27
354.95	2591.24
354.93	2591.23
354.92	2591.15
354.9	2591.02
354.89	2590.89
354.87	2590.75
354.85	2590.69
354.84	2590.76
354.82	2590.95
354.8	2591.57
354.79	2591.97
354.77	2592.31
354.75	2592.49
354.74	2592.72
354.72	2592.74
354.7	2592.73
354.69	2592.64
354.67	2592.56
354.66	2592.5
354.64	2592.39
354.62	2592.31
354.61	2592.35
354.59	2592.23
354.57	2592.12
354.55	2592.1
354.54	2592.03
354.52	2592.05
354.51	2592.08
354.49	2592.17
354.47	2592.45
354.46	2592.77
354.44	2592.89
354.42	2592.92
354.41	2592.92
354.39	2592.85
354.37	2592.77
354.36	2592.67
354.34	2592.55
354.32	2592.26
354.31	2592.17
354.29	2592.21
354.28	2592.42
354.26	2592.47
354.24	2592.56
354.23	2592.54
354.21	2592.49
354.19	2592.41
354.18	2592.35
354.16	2592.29
354.14	2592.27
354.13	2592.36
354.11	2592.47
354.09	2592.54
354.08	2592.52
354.06	2592.5
354.04	2592.52
354.03	2592.59
354.01	2592.6
353.99	2592.55
353.98	2592.48
353.96	2592.56
353.94	2592.56
353.93	2592.48
353.91	2592.45
353.9	2592.35
353.88	2592.28
353.86	2592.25
353.85	2592.21
353.83	2592.3
353.81	2592.44
353.8	2592.56
353.78	2592.6
353.76	2592.65
353.75	2592.69
353.73	2592.65
353.71	2592.61
353.7	2592.56
353.68	2592.55
353.66	2592.51
353.65	2592.46
353.63	2592.4
353.61	2592.36
353.6	2592.26
353.58	2592.16
353.56	2592.01
353.55	2591.88
353.53	2591.83
353.52	2591.79
353.5	2591.77
353.48	2591.75
353.47	2591.72
353.45	2591.71
353.43	2591.7
353.42	2591.66
353.4	2591.61
353.38	2591.55
353.37	2591.47
353.35	2591.4
353.33	2591.34
353.32	2591.27
353.3	2591.22
353.28	2591.17
353.27	2591.14
353.25	2591.15
353.23	2591.14
353.22	2591.23
353.2	2591.37
353.18	2591.4
353.17	2591.37
353.15	2591.36
353.13	2591.34
353.12	2591.35
353.1	2591.34
353.09	2591.33
353.07	2591.3
353.05	2591.27
353.03	2591.23
353.02	2591.19
353	2591.12
352.99	2591.06
352.97	2591
352.95	2590.96
352.94	2590.92
352.92	2590.89
352.9	2590.88
352.89	2590.94
352.87	2590.92
352.85	2590.87
352.84	2590.84
352.82	2590.8
352.8	2590.77
352.79	2590.77
352.77	2590.76
352.75	2590.74
352.74	2590.69
352.72	2590.66
352.7	2590.65
352.69	2590.64
352.67	2590.58
352.66	2590.54
352.64	2590.48
352.62	2590.46
352.6	2590.47
352.59	2590.48
352.57	2590.46
352.56	2590.43
352.54	2590.39
352.52	2590.36
352.51	2590.32
352.49	2590.28
352.47	2590.22
352.46	2590.15
352.44	2590.09
352.42	2590.05
352.41	2590.03
352.39	2590
352.37	2589.98
352.36	2589.95
352.34	2589.94
352.32	2589.93
352.31	2589.92
352.29	2589.9
352.27	2589.84
352.26	2589.77
352.24	2589.71
352.22	2589.65
352.21	2589.6
352.19	2589.55
352.18	2589.52
352.16	2589.48
352.14	2589.47
352.13	2589.45
352.11	2589.45
352.09	2589.47
352.08	2589.49
352.06	2589.47
352.04	2589.46
352.03	2589.46
352.01	2589.46
351.99	2589.44
351.98	2589.41
351.96	2589.37
351.94	2589.33
351.93	2589.3
351.91	2589.27
351.89	2589.26
351.88	2589.25
351.86	2589.23
351.84	2589.22
351.83	2589.21
351.81	2589.22
351.79	2589.23
351.78	2589.22
351.76	2589.2
351.74	2589.17
351.73	2589.16
351.71	2589.13
351.69	2589.11
351.68	2589.07
351.66	2589.01
351.64	2588.94
351.63	2588.86
351.61	2588.77
351.6	2588.68
351.58	2588.58
351.56	2588.49
351.55	2588.41
351.53	2588.34
351.51	2588.29
351.5	2588.25
351.48	2588.22
351.46	2588.23
351.45	2588.25
351.43	2588.32
351.41	2588.36
351.4	2588.34
351.38	2588.33
351.36	2588.33
351.35	2588.36
351.33	2588.36
351.31	2588.36
351.3	2588.33
351.28	2588.28
351.26	2588.23
351.25	2588.17
351.23	2588.09
351.21	2587.94
351.2	2587.76
351.18	2587.68
351.16	2587.62
351.15	2587.58
351.13	2587.55
351.12	2587.52
351.1	2587.46
351.08	2587.42
351.06	2587.39
351.05	2587.35
351.03	2587.3
351.02	2587.24
351	2587.21
350.98	2587.18
350.97	2587.18
350.95	2587.18
350.93	2587.17
350.92	2587.14
350.9	2587.12
350.88	2587.08
350.87	2587.03
350.85	2586.98
350.83	2586.93
