Data from https://doi.org/10.1039/D0TA05399F
Upon heating
Temperature(K)	Heat capacity(J/kg/K)
157.06	272.25
157.07	272.29
157.08	272.33
157.09	272.36
157.1	272.4
157.11	272.44
157.12	272.48
157.13	272.51
157.14	272.55
157.15	272.59
157.16	272.63
157.17	272.66
157.18	272.7
157.19	272.74
157.2	272.78
157.21	272.81
157.22	272.85
157.23	272.89
157.24	272.93
157.25	272.96
157.26	273
157.27	273.04
157.28	273.08
157.29	273.11
157.3	273.15
157.31	273.19
157.32	273.22
157.33	273.26
157.34	273.3
157.35	273.34
157.36	273.37
157.37	273.41
157.38	273.45
157.39	273.49
157.4	273.52
157.41	273.56
157.42	273.6
157.43	273.64
157.44	273.67
157.45	273.71
157.46	273.75
157.47	273.79
157.48	273.82
157.49	273.86
157.5	273.9
157.51	273.93
157.52	273.97
157.53	274.01
157.54	274.05
157.55	274.08
157.56	274.12
157.57	274.16
157.58	274.2
157.59	274.23
157.6	274.27
157.61	274.31
157.62	274.35
157.63	274.38
157.64	274.42
157.65	274.46
157.66	274.5
157.67	274.53
157.68	274.57
157.69	274.61
157.7	274.64
157.71	274.68
157.72	274.72
157.73	274.76
157.74	274.79
157.75	274.83
157.76	274.87
157.77	274.91
157.78	274.94
157.79	274.98
157.8	275.02
157.81	275.06
157.82	275.09
157.83	275.13
157.84	275.17
157.85	275.21
157.86	275.24
157.87	275.28
157.88	275.32
157.89	275.35
157.9	275.39
157.91	275.43
157.92	275.47
157.93	275.5
157.94	275.54
157.95	275.58
157.96	275.62
157.97	275.65
157.98	275.69
157.99	275.73
158	275.77
158.01	275.8
158.02	275.84
158.03	275.88
158.04	275.92
158.05	275.95
158.06	275.99
158.07	276.03
158.08	276.06
158.09	276.1
158.1	276.14
158.11	276.18
158.12	276.21
158.13	276.25
158.14	276.29
158.15	276.33
158.16	276.36
158.17	276.4
158.18	276.44
158.19	276.48
158.2	276.51
158.21	276.55
158.22	276.59
158.23	276.63
158.24	276.66
158.25	276.7
158.26	276.74
158.27	276.78
158.28	276.81
158.29	276.85
158.3	276.89
158.31	276.92
158.32	276.96
158.33	277
158.34	277.04
158.35	277.07
158.36	277.11
158.37	277.15
158.38	277.19
158.39	277.22
158.4	277.26
158.41	277.3
158.42	277.34
158.43	277.37
158.44	277.41
158.45	277.45
158.46	277.49
158.47	277.52
158.48	277.56
158.49	277.6
158.5	277.63
158.51	277.67
158.52	277.71
158.53	277.75
158.54	277.78
158.55	277.82
158.56	277.86
158.57	277.9
158.58	277.93
158.59	277.97
158.6	278.01
158.61	278.05
158.62	278.08
158.63	278.12
158.64	278.16
158.65	278.2
158.66	278.23
158.67	278.27
158.68	278.31
158.69	278.34
158.7	278.38
158.71	278.42
158.72	278.46
