Data from https://doi.org/10.1002/adma.201903577
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)
173.5	352.17
173.53	352.2
173.57	352.18
173.6	352.11
173.63	352.05
173.67	352.05
173.7	352.08
173.73	352.13
173.77	352.17
173.8	352.19
173.83	352.21
173.87	352.25
173.9	352.3
173.94	352.36
173.97	352.41
174	352.46
174.03	352.51
174.07	352.57
174.1	352.64
174.13	352.69
174.17	352.74
174.2	352.77
174.23	352.8
174.27	352.84
174.3	352.89
174.33	352.95
174.37	353.01
174.4	353.05
174.43	353.08
174.47	353.11
174.5	353.13
174.53	353.16
174.57	353.18
174.6	353.19
174.64	353.22
174.67	353.27
174.7	353.33
174.74	353.35
174.77	353.3
174.8	353.26
174.84	353.28
174.87	353.31
174.9	353.33
174.94	353.37
174.97	353.41
175	353.47
175.04	353.55
175.07	353.63
175.1	353.72
175.14	353.81
175.17	353.89
175.2	353.93
175.24	353.95
175.27	353.9
175.31	353.76
175.34	353.63
175.37	353.58
175.41	353.53
175.44	353.43
175.47	353.29
175.5	353.13
175.54	353.05
175.57	353.06
175.61	353.09
175.64	353.11
175.67	353.1
175.71	353.06
175.74	353.02
175.77	352.98
175.81	352.94
175.84	352.94
175.87	352.96
175.91	353
175.94	353.03
175.97	353.08
176.01	353.13
176.04	353.17
176.07	353.18
176.11	353.19
176.14	353.21
176.17	353.25
176.21	353.29
176.24	353.34
176.27	353.38
176.31	353.45
176.34	353.55
176.37	353.63
176.41	353.69
176.44	353.73
176.48	353.77
176.51	353.84
176.54	353.88
176.58	353.93
176.61	354.01
176.64	354.08
176.68	354.14
176.71	354.19
176.74	354.24
176.78	354.3
176.81	354.36
176.84	354.42
176.88	354.48
176.91	354.53
176.94	354.59
176.98	354.66
177.01	354.73
177.04	354.78
177.08	354.82
177.11	354.84
177.14	354.86
177.18	354.87
177.21	354.9
177.25	354.95
177.28	354.99
177.31	355.02
177.34	355.02
177.38	354.98
177.41	354.95
177.44	355
177.48	355.06
177.51	355.13
177.55	355.19
177.58	355.25
177.61	355.3
177.65	355.34
177.68	355.38
177.71	355.41
177.75	355.43
177.78	355.46
177.81	355.51
177.85	355.56
177.88	355.6
177.91	355.61
177.95	355.62
177.98	355.64
178.01	355.68
178.05	355.72
178.08	355.75
178.11	355.78
178.15	355.81
178.18	355.83
178.21	355.85
178.25	355.88
178.28	355.91
178.32	355.92
178.35	355.9
178.38	355.9
178.42	355.95
178.45	356
178.48	356.02
178.52	355.98
178.55	355.91
178.58	355.82
178.62	355.82
178.65	355.89
178.68	355.98
178.72	356.04
178.75	356.09
178.78	356.15
178.82	356.23
178.85	356.35
178.88	356.47
178.92	356.57
178.95	356.65
178.98	356.73
179.02	356.8
179.05	356.86
179.08	356.9
179.12	356.93
179.15	356.97
179.18	357.02
179.22	357.08
179.25	357.12
179.29	357.06
179.32	356.95
179.35	356.82
179.39	356.73
179.42	356.72
179.45	356.74
179.49	356.78
179.52	356.84
179.55	356.9
179.59	356.97
179.62	357.06
179.65	357.15
179.69	357.23
179.72	357.31
179.75	357.35
179.79	357.36
179.82	357.36
179.85	357.38
179.89	357.42
179.92	357.47
179.96	357.52
179.99	357.56
180.02	357.6
180.05	357.62
180.09	357.61
180.12	357.6
180.16	357.59
180.19	357.61
180.22	357.64
180.26	357.66
180.29	357.68
180.32	357.7
180.36	357.75
180.39	357.8
180.42	357.83
180.46	357.84
180.49	357.84
180.52	357.86
180.56	357.92
180.59	357.97
180.63	358.01
180.66	358.05
180.69	358.08
180.72	358.1
180.76	358.1
180.79	358.11
180.83	358.16
180.86	358.23
180.89	358.31
180.93	358.36
180.96	358.41
180.99	358.45
181.02	358.5
181.06	358.55
181.09	358.6
181.12	358.65
181.16	358.69
181.19	358.72
181.22	358.68
181.26	358.57
181.29	358.5
181.32	358.47
181.36	358.49
181.39	358.53
181.42	358.59
181.46	358.66
181.49	358.71
181.52	358.74
181.56	358.75
181.59	358.77
181.63	358.82
181.66	358.88
181.69	358.95
181.72	359.03
181.76	359.13
181.79	359.21
181.83	359.24
181.86	359.23
181.89	359.19
