Data from https://doi.org/10.1002/adma.201903577
Upon heating
Temperature(K)	Heat capacity(J/kg/K)
177.39	379.95
177.42	380.58
177.46	381.13
177.49	381.56
177.52	381.91
177.56	382.22
177.59	382.47
177.62	382.69
177.66	382.91
177.69	383.14
177.72	383.35
177.75	383.54
177.79	383.67
177.82	383.74
177.86	383.74
177.89	383.68
177.92	383.56
177.95	383.34
177.99	382.98
178.02	382.57
178.05	382.32
178.09	382.27
178.12	382.26
178.15	382.22
178.19	382.2
178.22	382.3
178.25	382.44
178.29	382.52
178.32	382.49
178.35	382.37
178.39	382.61
178.42	383.3
178.45	383.81
178.49	383.91
178.52	383.75
178.55	383.65
178.59	383.73
178.62	383.88
178.65	384.08
178.69	384.25
178.72	384.28
178.75	384.23
178.78	384.16
178.82	384.04
178.85	383.79
178.89	383.42
178.92	383.05
178.95	382.77
178.98	382.6
179.02	382.45
179.05	382.29
179.09	382.01
179.12	381.4
179.15	380.51
179.19	379.75
179.22	379.41
179.25	379.4
179.28	379.46
179.32	379.51
179.35	379.62
179.38	379.91
179.42	380.38
179.45	380.88
179.48	381.14
179.52	381.09
179.55	380.86
179.58	380.59
179.62	380.38
179.65	380.22
179.69	380.1
179.72	380.17
179.75	380.42
179.78	380.62
179.82	380.75
179.85	380.8
179.89	380.78
179.92	380.89
179.95	381.17
179.98	381.47
180.02	381.74
180.05	381.9
180.08	381.96
180.12	381.93
180.15	381.92
180.18	382.02
180.22	382.15
180.25	382.26
180.29	382.35
180.32	382.31
180.35	382.11
180.38	381.79
180.42	381.33
180.45	380.74
180.48	380.19
180.52	379.79
180.55	379.53
180.58	379.3
180.62	379.06
180.65	378.78
180.68	378.43
180.72	377.93
180.75	377.43
180.78	377.16
180.82	377.14
180.85	377.23
180.88	377.29
180.92	377.26
180.95	377.22
180.98	377.23
181.02	377.31
181.05	377.39
181.08	377.42
181.12	377.44
181.15	377.47
181.18	377.54
181.22	377.63
181.25	377.71
181.28	377.58
181.32	377.11
181.35	376.54
181.38	376.2
181.42	376.08
181.45	376.03
181.48	375.94
181.52	375.79
181.55	375.73
181.58	375.81
181.62	375.94
181.65	376.02
181.68	375.94
181.71	375.65
181.75	375.23
181.79	374.84
181.82	374.5
181.85	374.09
181.89	373.58
181.92	373.17
181.95	373
181.98	372.94
182.02	372.83
182.05	372.73
182.08	372.7
182.12	372.71
182.15	372.77
182.18	372.89
182.22	372.99
182.25	373.04
182.29	373.07
182.32	373.13
182.35	373.23
182.38	373.35
182.42	373.51
182.45	373.66
182.48	373.79
182.52	373.92
182.55	374.12
182.58	374.5
182.62	374.9
182.65	375.13
182.68	375.18
182.72	375.18
182.75	375.2
182.78	375.19
182.82	374.85
182.85	374.18
182.88	373.52
182.92	373.06
182.95	372.78
182.98	372.58
183.02	372.24
183.05	371.7
183.08	371.27
183.12	370.94
183.15	370.72
183.18	370.68
183.22	370.7
183.25	370.76
183.28	370.87
183.31	371.03
183.35	371.24
183.38	371.41
183.42	371.52
183.45	371.54
183.48	371.33
183.52	370.77
183.55	370.29
183.58	370.14
183.62	370.08
183.65	370.04
183.68	369.98
183.71	369.86
183.75	369.8
183.78	369.88
183.81	370.06
183.85	370.28
183.88	370.51
183.92	370.68
183.95	370.77
183.98	370.84
184.01	370.93
184.05	371.03
184.08	371.1
184.12	371.17
184.15	371.26
184.18	371.38
184.22	371.52
184.25	371.64
184.28	371.71
184.31	371.67
184.35	371.45
184.38	371.11
184.42	370.92
184.45	370.91
184.48	370.86
184.51	370.72
184.55	370.5
184.58	370.33
184.61	370.24
184.65	370.02
184.68	369.62
184.72	369.06
184.75	368.57
184.78	368.27
184.81	368.04
184.85	367.92
184.88	367.92
184.92	367.94
184.95	367.96
184.98	367.99
185.02	368.06
185.05	368.24
185.08	368.5
185.11	368.66
185.15	368.69
185.18	368.66
185.21	368.66
185.25	368.62
185.28	368.5
185.31	368.25
185.35	367.79
185.38	367.2
185.41	366.55
185.45	365.59
185.48	364.61
185.51	364.04
185.55	363.65
185.58	363.47
185.61	363.52
185.65	363.64
185.68	363.78
185.71	363.89
185.75	363.94
185.78	364
185.81	364.13
185.85	364.34
185.88	364.59
185.91	364.81
185.94	364.97
185.98	365.11
186.01	365.22
186.05	365.32
186.08	365.44
186.11	365.57
186.15	365.7
186.18	365.81
186.21	365.91
186.25	365.97
186.28	365.97
186.31	365.98
186.35	366.2
186.38	366.58
186.41	366.95
186.45	367.24
186.48	367.36
186.51	367.31
186.55	367.18
186.58	366.83
186.61	366.42
186.65	366.29
186.68	366.4
186.71	366.51
186.75	366.47
186.78	366.28
186.81	365.94
186.85	365.66
186.88	365.52
186.91	365.44
186.95	365.4
186.98	365.36
187.01	365.34
187.05	365.35
187.08	365.36
187.11	365.34
187.15	365.25
187.18	365.09
187.21	364.95
187.24	364.87
187.28	364.75
187.31	364.69
187.35	364.71
187.38	364.75
187.41	364.75
187.45	364.71
187.48	364.61
187.51	364.39
187.55	364.04
187.58	363.72
187.61	363.55
187.64	363.56
187.68	363.67
187.71	363.81
187.75	363.92
187.78	363.95
187.81	363.78
187.84	363.51
187.88	363.4
187.91	363.52
187.94	363.68
187.98	363.82
188.01	363.82
188.04	363.54
188.08	362.95
188.11	362.36
188.14	362.02
188.18	361.91
188.21	361.96
188.25	361.97
188.28	361.88
188.31	361.83
188.35	361.87
188.38	361.99
188.41	362.06
188.45	361.95
188.48	361.71
188.51	361.44
188.55	361.28
188.58	361.21
188.61	361.17
188.65	361.13
188.68	361.14
188.71	361.17
188.75	361.22
188.78	361.32
188.81	361.43
188.85	361.52
188.88	361.58
188.91	361.64
188.95	361.73
188.98	361.81
189.01	361.91
189.05	362.03
189.08	362.18
189.11	362.32
189.15	362.41
189.18	362.49
189.21	362.59
189.25	362.72
189.28	362.85
189.31	362.9
189.35	362.78
189.38	362.52
189.41	362.25
189.45	362.08
189.48	361.99
189.51	361.93
189.55	361.87
189.58	361.83
189.61	361.82
189.65	361.86
189.68	361.91
189.71	361.92
189.75	361.81
189.78	361.5
189.81	361.23
189.85	361.21
189.88	361.29
189.91	361.33
189.94	361.33
189.98	361.31
190.01	361.28
190.05	361.24
190.08	361.18
190.11	361.12
190.15	361.09
190.18	361.1
190.21	361.1
190.25	361.05
190.28	360.94
190.31	360.81
190.35	360.72
190.38	360.69
190.41	360.68
190.45	360.66
190.48	360.68
190.51	360.71
190.55	360.66
190.58	360.58
190.61	360.54
190.65	360.55
190.68	360.59
190.71	360.64
190.75	360.59
190.78	360.4
190.81	360.19
190.85	360.06
190.88	359.97
190.91	359.9
190.95	359.81
190.98	359.74
191.02	359.73
191.05	359.75
191.08	359.78
191.11	359.83
191.14	359.9
191.18	359.99
191.21	360.06
191.25	360.12
191.28	360.17
191.31	360.23
191.35	360.31
191.38	360.44
191.41	360.64
191.45	360.82
191.48	360.96
191.51	361.07
191.55	361.19
191.58	361.39
191.61	361.66
191.65	361.84
191.68	361.79
191.71	361.65
191.75	361.61
191.78	361.68
191.82	361.74
191.85	361.78
191.88	361.79
191.91	361.8
191.95	361.81
191.98	361.8
192.01	361.71
192.05	361.59
192.08	361.42
192.11	361.18
192.15	360.92
192.18	360.6
192.21	360.29
192.25	360.07
192.28	359.89
192.31	359.78
192.35	359.72
192.38	359.7
192.41	359.69
192.45	359.68
192.48	359.64
192.52	359.57
192.55	359.51
192.58	359.46
192.61	359.44
192.65	359.39
192.68	359.27
192.71	359.18
192.75	359.2
192.78	359.27
192.81	359.35
